hwdR;posR;schAccentR_Walker;schAccentR_Buchanan
abasement;noun;0-1-0;0-1-0-0
abatement;noun;0-1-0;0-1-0-0
abdomen;noun;0-1-0;0-0-0
ablution;noun;0-1-0;1-0-0
abortiveness;noun;0-1-0-0;0-1-0-0-0
absoluteness;noun;1-0-0-0;1-0-0-0-0
abstruseness;noun;0-1-0;0-1-0-0
academian;noun;0-0-1-0-0;0-0-1-0
academist;noun;0-1-0-0 or 1-0-0-0;0-1-0-0
academy;noun;0-1-0-0 or 1-0-0-0;0-1-0-0
accend;verb;1-0;0-1
acceptableness;noun;1-0-0-0-0;0-1-0-0-0
accloy;verb;0-1;0-0
accumulator;noun;0-1-0-0-0;0-0-0-1-0
accurateness;noun;1-0-0-0;1-0-0-0-0
accustom;verb;0-1-0;0-0-0
acme;noun;1-0;1
acre;noun;1-0;1
activeness;noun;1-0-0;1-0-0-0
acuteness;noun;0-1-0;0-1-0-0
additament;noun;0-1-0-0;0-0-0-0
adminicle;noun;0-1-0-0;0-1-0
administrator;noun;1-0-0-1-0;0-0-0-1-0
administratrix;noun;1-0-0-1-0;0-0-0-1-0
advancement;noun;0-1-0;0-1-0-0
advertisement;noun;0-1-0-0-0-1-0;0-1-0-0-0
aerie;noun;1-0;0-1-0
aerology;noun;0-0-1-0-0;0-1-0-0
aeromancy;noun;1-0-0-0-0;1-0-0-0
aerometry;noun;0-0-1-0-0;0-1-0-0
aeroscopy;noun;0-0-1-0-0;0-1-0-0
afternoon;noun;1-0-1;1-0-0
agreeableness;noun;0-1-0-0-0;0-0-0-0
alabaster;noun;1-0-0-0;0-0-1-0
alcoran;noun;1-0-0;0-0-0
alcove;noun;0-1;1-0
alebrewer;noun;1-0-0;1-0-0-0
aleconner;noun;1-0-0;1-0-0-0
alien;noun;1-0;0-0
allegorize;verb;1-0-0-0;0-0-0-1
allodium;noun;0-1-0-0;0-1-0
allurement;noun;0-1-0;0-1-0-0
aludel;noun;1-0-0;0-1-0
amazement;noun;0-1-0;0-1-0-0
amercement;noun;0-1-0;0-1-0-0
amiableness;noun;1-0-0-0-0;1-0-0-0
amortizement;noun;0-1-0-0;0-1-0-0-0
amusement;noun;0-1-0;0-1-0-0
anastrophe;noun;0-1-0-0;0-1-0
anchovy;noun;0-1-0;1-0-0
anemoscope;noun;0-1-0-0;1-0-0-0
anguish;noun;1-0;1-0-0
antepenult;noun;0-0-0-1;1-0-0-0
anthropology;noun;1-0-1-0-0;0-0-1-0-0
anthropophagi;noun;1-0-1-0-0;0-0-1-0-0
anthropophagy;noun;1-0-1-0-0;0-0-1-0-0
anticipation;noun;1-0-0-1-0;0-0-0-1-0
antiqueness;noun;0-1-0;1-0-0
antistrophe;noun;0-1-0-0;0-1-0
aphelion;noun;0-1-0-0;0-1-0
apophthegm;noun;1-0-0;0-0-0
apostle;noun;0-1-0;0-1
apostrophe;noun;0-1-0-0;0-1-0
apostume;noun;1-0-0;0-1-0
apple;noun;1-0;1
apply;verb;0-1;0-0
appositeness;noun;1-0-0-0;1-0-0-0-0
appraiser;noun;0-1-0;0-0-0
apprenticeship;noun;0-1-0-0;0-1-0-0-0
arbitrator;noun;1-0-0-0;0-0-1-0
arbute;noun;0-1;1-0
architecture;noun;1-0-0-0;0-0-1-0
archives;noun;1-0;1-0-0
arduousness;noun;1-0-0-0;0-0-0-0
aridity;noun;0-1-0-0;1-0-0-0
aromatize;verb;1-0-0-0;0-0-0-1
arraignment;noun;0-1-0;1-0-0
arrangement;noun;0-1-0;0-1-0-0
assayer;noun;0-1-0;0-0-0
assemble;verb;0-1-0;0-1
assets;noun;1-0;0-1
asylum;noun;0-1-0;1-0-0
asymptote;noun;1-0-0;0-1-0
atonement;noun;0-1-0;0-1-0-0
atticism;noun;1-0-0;0-1-0
audience;noun;1-0-0;1-0
averseness;noun;0-1-0;0-1-0-0
avowry;noun;0-1-0;0-0-0
auricle;noun;1-0-0;1-0
awfulness;noun;1-0-0;0-0-0
axiom;noun;1-0;1-0-0
baboon;noun;0-1;1-0
balcony;noun;0-1-0;1-0-0
barker;noun;1-0;0-0
barnacle;noun;1-0-0;1-0
barrier;noun;1-0-0;0-1
baseness;noun;1-0;1-0-0
bawble;noun;1-0;1
beadle;noun;1-0;1
beagle;noun;1-0;1
beatitude;noun;0-1-0-0;0-1-0-0-0
bedaggle;verb;0-1-0;0-1
beetle;noun;1-0;1
behaviour;noun;0-1-0;0-1-0-0
belay;verb;0-1;0-0
berlin;noun;0-1;1-0
bespangle;verb;0-1-0;0-1
bespeckle;verb;0-1-0;0-1
besprinkle;verb;0-1-0;0-1
bestiality;noun;0-0-1-0-0;0-1-0-0
betray;verb;0-1;0-0
betrayer;noun;0-1-0;0-0-0
bewray;verb;0-1;0-0
bewrayer;noun;0-1-0;0-0-0
bilboes;noun;1-0;0-0
bonelace;noun;0-1;1-0-0
bracelet;noun;1-0;1-0-0
brachygraphy;noun;0-1-0-0;1-0-0-0
braggadocio;noun;0-0-1-0-0;0-0-1-0
bramble;noun;1-0;1
breviary;noun;1-0-0;1-0-0-0
buffet;noun;1-0;0-1
buffoonery;noun;0-1-0-0;0-1-0
bugle;noun;1-0;1
bugle;noun;1-0;1
burgamot;noun;0-0-1;1-0-0
business;noun;1-0;1-0-0
cable;noun;1-0;1
cachexy;noun;1-0-0;0-1-0
cacochymy;noun;1-0-0-0;0-1-0-0
cadet;noun;0-1;1-0
cadi;noun;1-0;0-1
calcine;verb;0-1;1-0
candle;noun;1-0;1
canonize;verb;1-0-0;0-0-1
caprice;noun;0-1-0;0-1
captivity;noun;0-1-0-0;1-0-0-0
caravan;noun;0-0-1;1-0-0
caraway;noun;1-0-0;1-0
carbuncle;noun;1-0-0;1-0
carmine;noun;0-1;1-0
carnation;noun;0-1-0;1-0-0
carrier;noun;1-0-0;0-0-0
cartel;noun;0-1;1-0
casement;noun;1-0;1-0-0
casualty;noun;1-0-0-0;1-0-0
catarrh;noun;0-1;1-0
catastrophe;noun;0-1-0-0;0-1-0
category;noun;1-0-0-0;0-0-0-0
cattle;noun;1-0;1
cavalcade;noun;1-0-1;0-0-1
caudle;noun;1-0;1
cession;noun;1-0;0-0
champaign;noun;1-0;0-1
champion;noun;1-0-0;1-0
chancre;noun;1-0;1
changeling;noun;1-0;1-0-0
characterize;verb;1-0-0-0;0-0-0-1
chariot;noun;1-0-0;1-0
charioteer;noun;0-0-0-1;0-0-1
chastisement;noun;1-0-0;0-1-0-0
chersonese;noun;1-0-0;0-0-1
chiliaedron;noun;0-0-0-1-0;0-0-1-0-0
china;noun;1-1-0;1-0
chirurgeon;noun;0-1-0-0;0-1-0
chives;noun;0;0-0
choler;noun;1-0;0-0
chooser;noun;1-0;0-0
christianity;noun;0-0-1-0-0;0-1-0-0
chrysolite;noun;1-0-0;0-0-0
chuckle;verb;1-0;1
cingle;noun;1-0;1
circle;noun;1-0;1
circumcise;verb;1-0-0;0-0-1
circumference;noun;0-1-0-0;0-0-0-0
circumstantiate;verb;0-0-1-0-0;0-0-1-0
civilize;verb;1-0-0;0-0-1
civilizer;noun;1-0-0-0;0-0-1-0
claret;noun;1-0;0-0
clarion;noun;1-0;1-0-0
clothes;noun;0;0-0
clothier;noun;1-0;1-0-0
coagulator;noun;0-1-0-0-0;0-0-0-1-0
coalition;noun;0-0-1-0;0-1-0-0
coarseness;noun;1-0;0-0-0
cobble;verb;1-0;1
cochineal;noun;1-0-0;0-0-1
codle;verb;1-0;1
coefficient;noun;0-0-1-0;0-1-0-0
coequality;noun;0-0-1-0-0;0-1-0-0-0
coeternity;noun;0-0-1-0-0;0-1-0-0-0
coexistence;noun;0-0-1-0;0-1-0-0
coextension;noun;0-0-1-0;0-1-0-0
cognizance;noun;1-0-1-0-0;1-0-0
cohabitation;noun;0-0-0-1-0;0-1-0-0-0
collegian;noun;0-1-0-0;0-1-0
colloquy;noun;1-0-0;
collyrium;noun;0-1-0-0;0-0-0-0
colonel;noun;1-0;1-0-0
colures;noun;0-1;1-0-0
comedian;noun;0-1-0-0;0-1-0
communication;noun;0-0-0-1-0;0-0-0-0-0
communion;noun;0-1-0;0-1-0-0
compilement;noun;0-1-0;0-1-0-0
conchoid;noun;1-0;1-0-0
conciliate;verb;0-1-0;0-1-0-0
conciseness;noun;0-1-0;0-1-0-0
condisciple;noun;0-0-1-0;0-0-1
confessor;noun;1-0-0;0-1-0
confinement;noun;0-1-0;0-1-0-0
confront;verb;0-1;0-0
congeries;noun;0-1-0-0;0-1-0
conglutinator;noun;0-1-0-0-0;0-0-0-1-0
conjurement;noun;0-1-0;0-1-0-0
conquer;verb;1-1-0;1-0
consistory;noun;1-0-0-0;0-1-0-0
consociate;verb;0-1-0-0;0-1-0
constable;noun;1-0-0;1-0
construe;verb;1-1-0;1-0
constuprate;verb;1-0-0;0-1-0
consult;noun;1-0-1;1-0
contagion;noun;0-1-0-0;0-1-0
context;noun;1-0;0-1
convenience;noun;0-1-0-0-0;0-1-0
conventicle;noun;0-1-0-0;0-1-0
convoy;verb;0-1;0-1-0
convoy;noun;1-0;1-0-0
cookery;noun;1-0-0;1-0
co-operation;noun;0-0-0-1-0;
co-operator;noun;0-1-0-0-0;
co-ordination;noun;0-0-0-1-0;
coquetry;noun;0-1-0;1-0-0
coquette;noun;0-1;1-0
coracle;noun;1-0-0;1-0
cordiality;noun;0-0-1-0-0;0-1-0-0
corpuscle;noun;1-0-0;0-1
corridor;noun;0-0-1;1-0-0
corrosiveness;noun;0-1-0-0;0-1-0-0-0
corsair;noun;1-0;0-1
costiveness;noun;1-0-0;1-0-0-0
covenanter;noun;1-0-0-0;0-0-1-0
countermure;noun;1-0-0;0-0-1
courier;noun;0-1;1-0-0
coyness;noun;1-0;1-0-0
crankle;verb;1-0;1
creature;noun;1-0;0-0
crosier;noun;1-0-0;1-0
crucible;noun;1-0-0;1-0
cruiser;noun;1-0;0-0
crumble;verb;1-0;1
cuirassier;noun;0-0-1;0-1-0
cultivator;noun;1-0-0-0;0-0-1-0
curableness;noun;1-0-0-0;0-0-0-0
curator;noun;0-1-0;1-0-0
curdle;verb;1-0;1
cushion;noun;1-1-0;1-0
cuticle;noun;1-0-0;1-0
cuttle;noun;1-0;1
cuttle;noun;1-0;1
cycle;noun;1-0;1
cycloid;noun;1-0;1-0-0
dabble;verb;1-0;1
daggle;verb;1-0;1
dalliance;noun;1-0-0;1-0
dandle;verb;1-0;1
dazzle;verb;1-0;0
deanery;noun;1-0-0;1-0
debasement;noun;0-1-0;0-1-0-0
debauchery;noun;0-1-0-0;0-1-0
december;noun;0-1-0;0-0-0
decisiveness;noun;0-1-0-0;0-1-0-0-0
declamator;noun;0-0-1-0;0-1-0-0
decumbiture;noun;0-1-0-0;0-0-0-0
dedicator;noun;1-0-0-0;0-0-1-0
deducement;noun;0-1-0;0-1-0-0
deepen;verb;1-0;0-0
defectiveness;noun;0-1-0-0;0-1-0-0-0
defilement;noun;0-1-0;0-1-0-0
deject;verb;0-1;1-1
deliberateness;noun;0-1-0-0-0;0-1-0-0-0-0
delineate;verb;0-1-0-0;0-1-0
denier;noun;0-1-0;0-1
denier;noun;0-1;0-1-0
denigrate;verb;1-0-0-1-0;1-0-0
denominator;noun;0-1-0-0-0;0-0-0-1-0
deodand;noun;1-0-0;0-1-0
depravedness;noun;0-1-0;0-1-0-0
depravement;noun;0-1-0;0-1-0-0
depreciate;verb;0-1-0-0;0-1-0
desert;noun;1-0;0-1
desiccate;verb;0-1-0;1-0-0
desperateness;noun;1-0-0-0;1-0-0-0-0
desuetude;noun;1-0-0;0-1-0
diacodium;noun;0-0-1-0-0;0-0-1-0
diacoustics;noun;0-0-1-0;0-0-0-0
diagram;noun;1-0-0;0-0-1-0
dial;noun;1-0;1-0-0
dialect;noun;1-0-0;0-0-1-0
diamond;noun;1-0-0;1-0
dibble;noun;1-0;1
diffusiveness;noun;0-1-0-0;0-1-0-0-0
dingle;noun;1-0;1
diocesan;noun;0-1-0-0;0-0-1-0
disable;verb;0-1-0;0-1
disagreeableness;noun;0-0-1-0-0-0;0-0-1-0-0
disbursement;noun;0-1-0;0-1-0-0
disciple;noun;0-1-0;0-1
disentangle;verb;0-0-1-0;0-0-1
dismantle;verb;0-1-0;0-1
dismount;verb;0-1;0-0
disobedience;noun;0-0-1-0-0;0-0-1-0
disoblige;verb;0-0-1-0-1;0-0-1
disparagement;noun;0-1-0-0;0-1-0-0-0
dispeople;verb;0-1-0;0-1
dissemble;verb;0-1-0;0-1
dissembler;noun;0-1-0;0-0-0
disseminate;verb;0-1-0-0;0-0-0-0
disservice;noun;0-1-0;0-0-0
dissimilitude;noun;0-0-1-0-0;0-1-0-0-0
dissociate;verb;0-1-0-0;0-1-0
dissyllable;noun;1-0-0-0;0-1-0
district;noun;1-0;0-1
disunion;noun;0-1-0-0;0-1-0
divan;noun;0-1;1-0
divertisement;noun;0-1-0-0;0-1-0-0-0
divineness;noun;0-1-0;0-1-0-0
divorcement;noun;0-1-0;0-1-0-0
doodle;noun;1-0;1
doubler;noun;1-0-0;1-0
doublet;noun;1-0-0;1-0
doublon;noun;0-0-1;0-1
draggle;verb;1-0;1
drama;noun;1-1-0;1-0
dribble;verb;1-0;1
drizzle;verb;1-0;1
drummer;noun;1-0;0-0
dukedom;noun;1-0;1-0-0
durableness;noun;1-0-0-0;0-0-0-0
eagle;noun;1-0;1
earldom;noun;1-0;0-0
ecchymosis;noun;0-0-1-0;0-1-0-0
echinus;noun;0-1-0;1-0-0
effort;noun;1-0;0-1
effossion;noun;0-1-0;0-0-0
electre;noun;0-1-0;0-1
electre;noun;0-1-0;0-1
elevator;noun;1-0-0-0;0-0-1-0
elopement;noun;0-1-0;0-1-0-0
elucidator;noun;0-1-0-0-0;0-0-0-1-0
elves;noun;0;0-0
elysium;noun;0-1-0-0;0-1-0
emaciate;verb;0-1-0-0;0-1-0
embassy;noun;0-1-0;1-0-0
embattle;verb;0-1-0;0-1
enable;verb;0-1-0;0-1
enallage;noun;0-1-0-0;0-1-0
enchantress;noun;0-1-0;0-0-0
encircle;verb;0-1-0;0-1
encomiast;noun;0-1-0-0;0-1-0
encomium;noun;0-1-0-0;0-1-0
endive;noun;1-0;0-1
endorsement;noun;0-1-0;0-1-0-0
enfeeble;verb;0-1-0;0-1
enforcement;noun;0-1-0;0-1-0-0
enfranchisement;noun;0-1-0-0;0-0-1-0
engagement;noun;0-1-0;0-1-0-0
enhancement;noun;0-1-0;0-1-0-0
enlargement;noun;0-1-0;0-1-0-0
ennoble;verb;0-1-0;0-1
enslavement;noun;0-1-0;0-1-0-0
entangle;verb;0-1-0;0-1
enticement;noun;0-1-0;0-1-0-0
entireness;noun;0-1-0;0-1-0-0
entitle;verb;0-1-0;0-1
environs;noun;0-0-1-1-0;0-1-0
ephod;noun;1-1-0;1-0
epicycle;noun;1-0-0-0;1-0-0
epicycloid;noun;0-0-1-0;0-0-1-0-0
epiphonema;noun;0-0-0-1-0;0-0-1-0-0
epistle;noun;0-1-0;0-1
epitome;noun;0-1-0-0;0-1-0
epode;noun;1-1-0;1-0
erasement;noun;0-1-0;0-1-0-0
eschalot;noun;0-1;0-0-1
escuage;noun;1-0-0;0-1-0
espy;verb;0-1;1-0
estrangement;noun;0-1-0;0-1-0-0
estrepement;noun;0-1-0;0-1-0-0
eternize;verb;0-1-0;0-0-1
eucharist;noun;1-0-0;0-0-0
example;noun;0-1-0;0-1
excellency;noun;1-0-0-0;0-1-0-0
excruciate;verb;0-1-0-0;0-1-0
exemplariness;noun;1-0-0-0-0;0-1-0-0-0
exequies;noun;1-0-0;0-0-0
exhalement;noun;0-1-0;0-1-0-0
exilement;noun;0-1-0;0-1-0-0
exit;noun;1-0;0-1
expediency;noun;0-1-0-0-0;0-1-0-0
expensiveness;noun;0-1-0-0;0-1-0-0-0
explorement;noun;0-1-0;0-1-0-0
expressiveness;noun;0-1-0-0;0-1-0-0-0
extensiveness;noun;0-1-0-0;0-1-0-0-0
extraordinariness;noun;0-1-0-0-0-0;0-0-1-0-0-0-0
exultation;noun;0-0-1-0;0-1-0-0
falseness;noun;1-0;1-0-0
familiarity;noun;0-0-0-1-0-0;0-0-1-0-0
fascine;noun;0-1;1-0
fashionableness;noun;1-0-0-0-0;1-0-0-0
fatner;noun;1-0-0;1-0
fatuity;noun;0-1-0-0;1-1-0-0
fealty;noun;1-0-0;1-0
feebleness;noun;1-0-0;1-0
fertileness;noun;1-0-0;1-0-0-0
festivity;noun;0-1-0-0;1-0-0-0
fibre;noun;1-0;1
fiddler;noun;1-0-0;1-0
fiduciary;noun;0-1-0-0-0;0-1-0-0
fierceness;noun;1-1-0;1-0
fieriness;noun;1-0-0-0;1-0-0
fineness;noun;1-0;1-0-0
firebrand;noun;1-0;1-0-0
firelock;noun;1-0;1-0-0
fives;noun;0;0-0
foetus;noun;1-0;0-0
foible;noun;1-0;0
foliage;noun;1-0-0;1-0
foliate;verb;1-0-0;1-0
folio;noun;1-0-0;1-0
follicle;noun;1-0-0;1-0
fondle;verb;1-0;1
foolery;noun;1-0-0;1-0
forecast;verb;0-1;0-0-1
forecast;noun;1-0;1-0-0
foreclose;verb;0-1;0-0-1
forego;verb;0-1;0-0-1
forehand;noun;1-0;1-0-0
foreknow;verb;0-1;0-0-1
foreknowledge;noun;0-1-0;0-0-1-0
foreland;noun;1-0;1-0-0
forerunner;noun;0-1-0;0-0-1-0
foretaste;noun;1-0;1-0-0
foretell;verb;0-1;0-0-1
foretop;noun;1-0;1-0-0
forewarn;verb;0-1;0-0-1
forgiveness;noun;0-1-0;0-1-0-0
formidableness;noun;1-0-0-0-0;1-0-0-0
fornicator;noun;1-0-0-0;0-0-1-0
frankincense;noun;1-0-0;0-1-0
freckle;noun;1-0;1
fribbler;noun;1-0-0;1-0
frizle;verb;1-0;1
frizler;noun;1-0-0;1-0
frontier;noun;1-1-0;1-0
frugality;noun;0-1-0-0;1-0-0-0
fulsomeness;noun;1-0-0;1-0-0-0
fumbler;noun;1-0-0;1-0
fumigation;noun;0-0-1-0;1-0-0-0
fusee;noun;0-1;1-0
gabbler;noun;1-0-0;1-0
gable;noun;1-0;1
galiot;noun;1-0;1-0-0
gambler;noun;1-0-0;1-0
gamesomeness;noun;1-0-0;1-0-0-0-0
gamester;noun;1-0;1-0-0
garbler;noun;1-0-0;1-0
gayness;noun;1-0;0-0
generator;noun;1-0-0-0;0-0-1-0
geometrician;noun;0-0-0-1-0;0-0-1-0-0
geometry;noun;0-1-0-0;1-0-0
germander;noun;0-1-0;1-0-0
giggler;noun;1-0-0;1-0
giglet;noun;1-0-0;1-0
glacis;noun;1-0-1;1-0
glimpse;noun;0;1
gobble;verb;1-0;1
gobbler;noun;1-0-0;1-0
godliness;noun;1-0-0;0-0-0
grabble;verb;1-0;1
gracefulness;noun;1-0-0;1-0-0-0
grantee;noun;0-1;1-0
grantor;noun;0-1;1-0
graveness;noun;1-0;1-0-0
greatness;noun;1-0;0-0
gristle;noun;1-0;1
grizzle;noun;1-0;1
grumbler;noun;1-0-0;1-0
grumbling;noun;1-0-0;1-0
guttle;verb;1-0;1
guzzle;verb;1-0;1
guzzler;noun;1-0-0;1-0
habergeon;noun;0-1-0-0;0-1-0
hackle;verb;1-0;1
haggle;verb;1-0;1
haggler;noun;1-0-0;1-0
halloo;verb;0-1;1-0
handsomeness;noun;1-0-0;1-0-0-0
harmoniousness;noun;0-1-0-0-0;0-1-0-0
hegira;noun;0-1-1-0-0;1-0-0
heighten;verb;1-0;0-0
hereditament;noun;0-0-1-0-0;0-1-0-0-0
heresiarch;noun;0-1-0-0;1-0-0-0
hideousness;noun;1-0-0-0;1-0-0
hierarch;noun;1-0-0;1-0
hierarchy;noun;1-0-0-0;1-0-0
hierography;noun;0-0-1-0-0;0-1-0-0
hireling;noun;1-0;1-0-0
hobble;noun;1-0;1
hocus-pocus;noun;1-0-1-0;
hodge-podge;noun;1-0;
homeliness;noun;1-0-0;1-0-0-0
horology;noun;0-1-0-0;1-0-0-0
hugeness;noun;1-0;1-0-0
humbler;noun;1-0-0;1-0
hurdle;noun;1-0;1
hyacinth;noun;1-0-0;
hyena;noun;0-1-0;1-0-0
hypallage;noun;0-1-0-0;0-1-0
hyperbole;noun;0-1-0-0;0-1-0
hypothesis;noun;0-1-0-0-1-0-0;0-1-0-0
icicle;noun;1-0-0;1-0
ides;noun;0;0-0
idiom;noun;1-0-0;1-0
idiot;noun;1-0-0;1-0
idiotism;noun;1-0-0-0;1-0-0
idler;noun;1-0-0;1-0
ignite;verb;0-1;1-0
illiterateness;noun;0-1-0-0-0;0-1-0-0-0-0
imitator;noun;1-0-0-0;0-0-1-0
immateriality;noun;0-0-0-0-1-0-0;0-0-1-0-0-0
imperialist;noun;0-1-0-0-0;0-1-0-0
importance;noun;0-1-0-1-0;0-1-0
improvement;noun;0-1-0;0-1-0-0
impurple;verb;0-1-0;0-1
incendiary;noun;0-1-0-0-0-1-0-0-0;0-1-0-0
incense;verb;1-0;0-1
incensory;noun;1-0-0-0;0-1-0-0
incitement;noun;0-1-0;0-1-0-0
inconveniency;noun;0-0-1-0-0-0;0-0-1-0-0
indian;noun;1-0-1-0-1-0;1-0
indraught;noun;1-0;0-1
inducement;noun;0-1-0;0-1-0-0
inexpediency;noun;0-0-1-0-0-0;0-0-1-0-0
inexperience;noun;0-0-1-0-0;0-0-1-0
infiniteness;noun;1-0-0-0;1-0-0-0-0
infoliate;verb;0-1-0-0;0-1-0
infringement;noun;0-1-0;0-1-0-0
ingeniousness;noun;0-1-0-0-0;0-1-0-0
ingratiate;verb;0-1-0-0;0-1-0
inhabitation;noun;0-0-0-1-0;0-1-0-0-0
initiate;verb;0-1-0-0;0-1-0
inkle;noun;1-0;1
innovator;noun;1-0-0-0;0-0-1-0
inoculator;noun;0-1-0-0-0;0-0-0-1-0
insatiableness;noun;0-1-0-0-0-0;0-1-0-0
insect;noun;1-0;1-1
insitiency;noun;0-1-0-0-0;0-1-0-0
instate;verb;0-1;1-1
instigator;noun;1-0-0-0;0-0-1-0
instillation;noun;0-0-1-0;0-0-0-0
institutist;noun;1-0-0-0;0-0-1-0
intaglio;noun;0-1-0;0-1-0-0
intelligencer;noun;0-1-0-0-0;0-0-0-1-0
intelligibleness;noun;0-1-0-0-0-0;0-1-0-0-0
intenseness;noun;0-1-0;0-1-0-0
interdict;noun;1-0-0;0-0-0
interest;verb;1-0-0;0-0-1
intermeddler;noun;0-0-1-0-0;0-0-1-0
intermediacy;noun;0-0-1-0-0-0-0-1-0-0-0;0-0-1-0-0
intermingle;verb;0-0-1-0;0-0-1
interpolator;noun;0-1-0-0-0;0-0-0-1-0
interrogator;noun;0-1-0-0-0;0-0-0-1-0
interstice;noun;1-0-0-1-0;0-1-0
intireness;noun;0-1-0;0-1-0-0
intricateness;noun;1-0-0-0;1-0-0-0-0
intromit;verb;0-0-1;1-0-0
